Source,Target
Buying that car cost_me_an_arm_and_a_leg.,Mua chiếc xe đó khiến tôi tốn cả gia tài.
She gave me the_cold_shoulder at the party,Cô ấy phớt lờ tôi tại bữa tiệc
Pull_yourself_together and face the challenge.,Hãy bình tĩnh và đối mặt với thử thách.
The noise caused all the neighbors to go_nuts.,Cái tiếng ồn đó đã làm tất cả hàng xóm phát điên.
He kicked_the_bucket last year.,Ông ấy đã qua đời năm ngoái
He passed the exam by_the_skin_of_his_teeth.,Anh ấy vừa đủ điểm để qua kỳ thi.
I have been looking here_and_there for the gift I boụght for my girlfriend,Tôi đã tìm khắp mọi nơi để mua món quà cho bạn gái tôi
I take_something_for_granted that I woụld find the perfect job.,Tôi đã cho rằng mình sẽ tìm được công việc hoàn hảo mà không cần cố gắng.
The new Honda is expected to sell_like_hotcakes after it’s released.,Mẫu xe Honda mới dự kiến sẽ bán chạy như tôm tươi sau khi ra mắt.
Don't give up!—practice_makes_perfect.,Đừng bỏ cuộc!—có công mài sắt có ngày lên kim.
We just got here in_the_nick_of_time.,Chúng ta vừa đến đúng lúc.
The new Honda is expected to sell_like_hotcakes after it’s released.,Mẫu xe Honda mới dự kiến sẽ bán chạy như tôm tươi sau khi ra mắt.
It’ll be_a_cold_day_in_July when our team wins the championship.,Nhóm chúng tôi sẽ không bao giờ giành được chức vô địch.
He got_a_taste_of_his_own_medicine when others ignored him.,Anh ấy bị người khác phớt lờ như cách anh từng làm.
"If you wait for him to finish his part of the project, you’ll be waiting_till_the_cows come home ","Nếu bạn đợi anh ấy hoàn thành công việc của anh ấy trong dự ăn, bạn sẽ phải đợi anh ấy rất lâu đó."
They cut_corners to finish the project on time.,Họ làm qua loa để hoàn thành dự án đúng hạn
He's going_around_the_bend.,Anh ấy đang mất trí.
Could you lend_me_a_hand with this piano?,Bạn có thể giúp tôi một tay với cái piano này không?
Hang_in_there! Everything will be okay.,Cố lên! Rồi mọi chuyện sẽ ổn thôi.
He bent_over_backwards to help her.,	Anh ấy đã cố gắng hết sức để giúp cô ấy.
Don’t cry_over_spilled_milk.,	Đừng khóc vì chuyện đã qua.
Don’t get all_bent_out_of_shape out it.,Đừng có tức vì đièu đó.
She hit_the_nail_on_the_head with her comment.,Cô ấy đã nói trúng phóc với lời nhận xét của mình.
He's going_around_the_bend.,Anh ấy đang mất trí.
I think he's off_his_trolley.,Tôi nghĩ anh ta bị điên rồi.
His diet went_out_the_window during the holidays.,Buổi ăn kiêng của anh ta biến mất trong kỳ nghỉ.
Could you lend_me_a_hand with this piano?,Bạn có thể giúp tôi một tay với cái piano này không?
I’m feeling_under_the_weather today.,	Hôm nay tôi thấy không khỏe.
You really hit_the_nail_on_the_head with that comment.,Cái bình luận của bạn thực sự thật chính xác và sâu sắc
She’s a_tough_cookie in negotiations.,Cô ấy rất cứng rắn khi đàm phán.
Hurry up!—Time is money!,Nhanh lên!—Thời gian là tiền bạc!
He’s the_big_fish in the company. ,Anh ta là một người quan trọng trong công ty.
The drink is on the house tonight,Tối nay quán đãi đồ uống miễn phí.
You should both see_eye_to_eye if you want this resolved.,Hai bạn nên có cùng một quan điểm riêng nếu bạn muốn giải quyết vấn đề này.
"Losing the job was tough, but every cloud has a_silver_lining.","Mất việc thật khó khăn, nhưng trong cái rủi có cái may."
He was at_death's_door after his heart attack.,Anh ấy đã cận kề cái chết sau cơn đau tim
He kicked_the_bucket last night.,Ông ấy đã qua đời tối qua.
break_a_leg,chúc may mắn
"Inside, there is no room to swing_a_cat.",Bên trong rất nhỏ.
You look full_of_the_joys_of_spring this morning.,Bạn trông rất vui vẻ và phấn khởi sáng nay.
It’s nice to slow down at the week-end and take_it_+easy.,Thật tuyệt khi được thư giãn vào cuối tuần.
He finally apologized—better_late_than_never.,Cuối cùng anh ấy cũng xin lỗi—muộn còn hơn không.
I’m feeling_under_the_weather today.,	Hôm nay tôi thấy không khỏe.
They finally saw_eye_to_eye on the issue.,Họ cuối cùng cũng đồng thuận về vấn đề đó.
I have a_million_and_one ideas.,Tôi có rất nhiều ý tưởng.
You should judge him by his work.,Bạn nên đánh giá anh ấy qua công việc của anh ấy.
"I stayed up all night studying for that exam, and then it turned_out_to_be_a_breeze!","Tôi đã giành cả đêm để ôn cho bải kiểm tra, và hóa ra nó thực sự dễ dàng"
She’s a_dead_ringer for her older sister.,Cô ấy nhìn rất giống chị của cô ta.
"My grandmother is 92 years old, but she’s still sharp_as_a_tack.",Bà tôi đã 92 tuổi rồi nhưng bà ấy vẫn rất nhanh nhẹn.
It was her chance to speak and she was getting_cold_feet.,Đó là cơ hội để cô ấy lên tiếng nhưng cô ấy lại cảm thấy lo lắng.
If i come to the party I'll just_be_a_fifth_wheel.,Nêú tôi đến buổi tiệc của bạn tôi sẽ trông rất thừa thãi
We killed_two_birds_with_one_stone by shopping and picking up the kids in one trip.,"Chúng tôi một công đôi việc, vừa đi mua sắm vừa đón con."
He bent_over_backwards to help her.,	Anh ấy đã cố gắng hết sức để giúp cô ấy.
I'll play_devil's_advocate to challenge your ideas.,Tôi sẽ đóng vai phản biện để thử thách ý tưởng của bạn.
Many companies are jumping on_the_bandwagon.,Nhiều công ty đang chạy theo xu hướng.
These kinds of mistakes are a_dime_a_dozen,Những lỗi như thế này rất phổ biến
He was over_the_moon with his exam score.,Anh ấy đã rất vui mừng với điểm thi của anh ấy. 
I will call him when_hell_freezes_over.,Tôi sẽ không bao giờ gọi anh ấy
The new scooter surely will knock_your_socks_off!,Cái xe máy mới sẽ chắc chắn làm bạn kinh ngạc.
He finally threw_in_the_towel after years of trying.,"Sau nhiều năm cố gắng, anh ấy cuối cùng cũng bỏ cuộc."
He kicked_the_bucket last year.,Ông ấy đã qua đời năm ngoái
There is no smoke without fire.,Không có lửa sao có khói.
Big Brother seems to grow more and more powerful as data about individuals is accumulated on social networks.,Chính phủ dường như ngày càng trở nên mạnh mẽ khi dữ liệu về cá nhân được tích lũy trên mạng xã hội.
He sensed that there were multiple_clouds_on_the_horizon.,Anh ấy cảm thấy rằng nó vẫn còn rất nhiều vấn đề.
"Sure, I’ll go out with Cynthia again. When_pigs_fly ",Tôi sẽ đi chơi với Cynthia khi nào lợn mọc cánh mà bay.
Who's the new_man_in_your_life?,Ai là người tình mới của bạn vậy?
The new engine design is our ace_in_the_hole – but we have to keep it secret from our competitors.,Cái động cơ mới của ta là lợi thế bí mật của ta – ta phải giữ bí mật với đối thủ cạnh tranh
I will be snowed_under for a few days.,Tôi sẽ rất bận trong vài ngày
 I have to hit_the_books this weekend — I have two exams next week,"Tôi phải học cuối tuần này, tuần sau tôi có 2 bài kiểm tra."
Her doctor said she was fit_as_a_fiddle.,Bác sĩ của cô ta nói cô ấy rất khỏe mạnh
I wouldn't want a nine-to-five job.,Tôi không muốn một công việc thường ngày.
I think he's off_his_trolley.,Tôi nghĩ anh ta bị điên rồi.
He smokes_like_a_chimney.,Anh ấy hút thuốc rất nhiều.
"It is to late for you to do that, the_ship_has_sailed","Đã quá muộn để bạn làm điều đó rồi, bạn đã mất cơ hội đó."
Don’t bother him when_he’s_in_his_cups.,Đừng làm phiền anh ấy khi anh ấy đang say rượu.
Sophia made me trusted her. But then she stabbed_me_in_the_back ,Sophia đã làm tôi tin tưởng cô ấy. Rồi cô ta phản bội tôi.
I have a_million_and_one ideas.,Tôi có rất nhiều ý tưởng.
Dad will hit_the_roof when he finds out I dented the car.,Bố sẽ nổi giận lắm khi phát hiện ra tôi làm móp xe.
He passed the exam by_the_skin_of_his_teeth.,Anh ấy vừa đủ điểm để qua kỳ thi.
James is a_bad_egg. Don’t trust him.,James là một kẻ xấu. Đừng tin anh ấy.
I was sick_as_a_parrot after seeing them lost the game,Tôi đã rất thất vọng sau khi thấy họ thua trận.
Don’t bother him when_he’s_in_his_cups.,Đừng làm phiền anh ấy khi anh ấy đang say rượu.
Don’t_judge_a_book_by_its_cover,Đừng nhìn mặt bắt hình dong
His sickness was a_blessing_in_disguise,Căn bệnh của anh ta hóa ra là một phước lành.
It was her chance to speak and she was getting_cold_feet.,Đó là cơ hội để cô ấy lên tiếng nhưng cô ấy lại cảm thấy lo lắng.
She read_between_the_lines and knew he was upset.,Cô ấy hiểu ngầm và biết anh ấy đang buồn.
She read_between_the_lines and knew he was upset.,Cô ấy hiểu ngầm và biết anh ấy đang buồn.
I have_a_bun_in_the_oven.,Tôi đã có bầu.
I’m all_ears — tell me what happened!,Tôi đang chăm chú nghe đây — kể tôi nghe đi!
She threw_caution_to_the_wind and invested all her savings.,Cô ấy liều lĩnh đầu tư toàn bộ tiền tiết kiệm
He’s the_big_fish in the company. ,Anh ta là một người quan trọng trong công ty.
it's a_piece_of_cake,Nó dễ như ăn bánh
The name Susan Thompson rings_a_bell.,Cái tên Susan Thompson nghe rất quen.
He kicked_the_bucket last night.,Ông ấy đã qua đời tối qua.
He is_right_as_rain. We should sell these old funiture,Ý anh ấy rất đúng. Chúng ta nên bán những đò nột thất cũ kĩ này.
I think I bit_off_more_than_I_could_chew with this project.,Tôi nghĩ mình đã ôm đồm quá nhiều với dự án này.
The new scooter surely will knock_your_socks_off!,Cái xe máy mới sẽ chắc chắn làm bạn kinh ngạc.
"""It's raining_cats_and_dogs outside.",Trời đang mưa như trút nước.
She read_between_the_lines and knew he was upset.,Cô ấy hiểu ngầm và biết anh ấy đang buồn.
He kicked_the_bucket last year.,Ông ấy đã qua đời năm ngoái
We were in_the_same_boat during the crisis.,Chúng tôi cùng cảnh ngộ trong thời kỳ khủng hoảng.
Don't give up!—practice_makes_perfect.,Đừng bỏ cuộc!—có công mài sắt có ngày lên kim.
He was paid under_the_table.,Anh ấy được trả tiền không chính thức
The cave we'll pass by is as_black_as_coal.,Cái hang động mà ta sắp đi qua nó đen như mực.
You're really throwing caution_to_the_wind.,Bạn đang không cẩn thận một chút nào.
These kinds of mistakes are a_dime_a_dozen,Những lỗi như thế này rất phổ biến
"If_you_scratch_my_back, i'll_scratch_yours.",Có qua lại mới toại lòng nhau.
It’ll be_a_cold_day_in_July when our team wins the championship.,Nhóm chúng tôi sẽ không bao giờ giành được chức vô địch.
The plan went_down_in_flames.,Kế hoạch thành ra thảm bại.
The drink is on the house tonight,Tối nay quán đãi đồ uống miễn phí.
Speak_of_the_devil—here he comes!,"Vừa nhắc đến anh ta—anh ta đến kìa!"""
I will call him when_hell_freezes_over.,Tôi sẽ không bao giờ gọi anh ấy
He got_a_taste_of_his_own_medicine when others ignored him.,Anh ấy bị người khác phớt lờ như cách anh từng làm.
He finally threw_in_the_towel after years of trying.,"Sau nhiều năm cố gắng, anh ấy cuối cùng cũng bỏ cuộc."
Don't bring up old arguments; let_sleeping_dogs_lie.,Đừng khơi lại chuyện cũ; hãy để quá khứ yên.
Dad will hit_the_roof when he finds out I dented the car.,Bố sẽ nổi giận lắm khi phát hiện ra tôi làm móp xe.
You’re barking_up_the_wrong_tree.,Bạn đang hiểu nhầm rồi.
You should judge him by his work.,Bạn nên đánh giá anh ấy qua công việc của anh ấy.
I will be snowed_under for a few days.,Tôi sẽ rất bận trong vài ngày
It was the_last_straw that made her quit.,Đó là giọt nước tràn ly khiến cô ấy bỏ việc.
Let’s get_the_ball_rolling on this project.,	Hãy bắt đầu dự án này thôi.
It’s important to buy souvenirs for_your_kith_and_kin.,Việc mua quà lưu niệm cho gia đình là rất quan trọng.
Stop beating_around_the_bush and answer my question.,"Đừng vòng vo nữa, hãy trả lời câu hỏi của tôi"
"After struggling with my work, I finally threw_in_the_towel","Sau khi vật lộn với công việc, tôi cuối cùng cũng bỏ cuộc."
Hit_the_nail_in_the_head,Nói đúng trọng tâm.
"I stayed up all night studying for that exam, and then it turned_out_to_be_a_breeze!","Tôi đã giành cả đêm để ôn cho bải kiểm tra, và hóa ra nó thực sự dễ dàng"
You’re barking_up_the_wrong_tree.,Bạn đang hiểu nhầm rồi.
Nine times out of ten your first choice turns out to be the right one.,Chín trên mười lần lựa chọn đầu tiên của bạn sẽ là lựa chọn đúng.
I'll keep_an_good_eye on your house when you're gone,Tôi sẽ trông nom ngôi nhà của bạn cẩn thận khi bạn đi vắng.
"Sure, I’ll go out with Cynthia again. When_pigs_fly ",Tôi sẽ đi chơi với Cynthia khi nào lợn mọc cánh mà bay.
She was like a_cat_on_hot_bricks before her big exam.,Cô ấy đã rất lo lắng trước kỳ thi.
You’re skating_on_thin_ice by arriving late again.,Cậu đang cực liều khi lại đến muộn đấy.
She’s a_dead_ringer for her older sister.,Cô ấy nhìn rất giống chị của cô ta.
They are on_cloud_nine.,Họ đang vô cùng hạnh phúc.
I was sick_as_a_parrot after seeing them lost the game,Tôi đã rất thất vọng sau khi thấy họ thua trận.
New Year's Eve is just_around_the_corner!,Giao thừa sắp đến rồi!
At the end she won only_by_a_whisker,Cô ấy đã thắng với một khoảng cách rất ngắn.
My brother has a big exam next week so he is already burn_the_midnight_oil,Anh trai tôi có kỳ thi lớn vào tuần tới nên anh ấy đã thức khuya học bài rồi.
His diet went_out_the_window during the holidays.,Buổi ăn kiêng của anh ta biến mất trong kỳ nghỉ.
Working from home gives me the_best_of_both_worlds.,Làm việc tại nhà mang lại cho tôi lợi ích từ cả hai phía.
"I stayed up all night studying for that exam, and then it turned_out_to_be_a_breeze!","Tôi đã giành cả đêm để ôn cho bải kiểm tra, và hóa ra nó thực sự dễ dàng"
These kinds of mistakes are a_dime_a_dozen,Những lỗi như thế này rất phổ biến
It was a_blessing_in_disguise.,Đó là vận may trong cái rủi.
The drink is on the house tonight,Tối nay quán đãi đồ uống miễn phí.
Stop beating_around_the_bush and answer my question.,"Đừng vòng vo nữa, hãy trả lời câu hỏi của tôi"
He is a_pain_in_the_neck,Anh ta quả là một nỗi phiền toái.
He has been under_the_weather all week.,Anh ấy trông không khỏe cả tuần nay.
Her doctor said she was fit_as_a_fiddle.,Bác sĩ của cô ta nói cô ấy rất khỏe mạnh
At the end she won only_by_a_whisker,Cô ấy đã thắng với một khoảng cách rất ngắn.
James is a_bad_egg. Don’t trust him.,James là một kẻ xấu. Đừng tin anh ấy.
He’s the black_sheep of the family.,	Anh ấy là kẻ lạc loài trong gia đình.
Please come in and make_yourself_at_home.,Hãy vào và tự nhiên như ở nhà.
He got_home_all_in_one_piece despite the storm,Anh ấy đã về nhà trọn vẹn mặc dù có cơn bão.
Let the_cat_out_of_the_bag.,Tiết lộ bí mật.
I decided to bite_the_bullet and take the exam,	Tôi quyết định cắn răng chịu đựng và đi thi.
Stop beating_around_the_bush and answer my question.,"Đừng vòng vo nữa, hãy trả lời câu hỏi của tôi"
Let's call_it_a_day.,Hãy dừng lại và nghỉ đi.
"I’m really_in_a_pickle. I spent all the money I had saved, and I have no way to pay next semester’s tuition bill.",Tôi thực sự đang gặp rắc rối. Tôi đã tiêu hết tiền tiết kiệm của mình và tôi không có cách nào để trả tiền cho học kỳ tới.
She hit_the_nail_on_the_head with her comment.,Cô ấy đã nói trúng phóc với lời nhận xét của mình.
It's raining_cats_and_dogs,Trời mưa rất to
"Better leave her alone, don't_fuel_the_fire!","Để cô ấy yên, đừng có châm dầu vào lửa!"
I will be snowed_under for a few days.,Tôi sẽ rất bận trong vài ngày
The dress she wants for her birthday will cost_a_pretty_penny.,Chiếc váy mà cô ấy muốn mua cho ngày sinh nhật sẽ tốn một khoản tiền kha khá.
She’s a_dead_ringer for her older sister.,Cô ấy nhìn rất giống chị của cô ta.
They cut_corners to finish the project on time.,Họ làm qua loa để hoàn thành dự án đúng hạn
This problem is getting_out_of_hand.,Vấn đề này đang trở nên mất kiểm soát.
"I stayed up all night studying for that exam, and then it turned_out_to_be_a_breeze!","Tôi đã giành cả đêm để ôn cho bải kiểm tra, và hóa ra nó thực sự dễ dàng"
She hit_the_nail_on_the_head with her comment.,Cô ấy đã nói trúng phóc với lời nhận xét của mình.
We’re wasting our time on_small_potatoes!,Chúng ta đang lãng phí thời gian vỡi những công việc nhỏ vặt!
"Come_hell_or_high_water,we will be in New York.","Cho dù thứ gì sảy ra đi chăng nữa, chúng ta sẽ đến New York."
I wouldn't want a nine-to-five job.,Tôi không muốn một công việc thường ngày.
He's in_hot_water for missing the deadline.,Anh ấy gặp rắc rối vì trễ hạn
Don't cry_over_spilled_milk.,Đừng than vãn chuyện đã rồi. 
He passed the exam by_the_skin_of_his_teeth.,Anh ấy vừa đủ điểm để qua kỳ thi.
The drink is on the house tonight,Tối nay quán đãi đồ uống miễn phí.
I think I bit_off_more_than_I_could_chew with this project.,Tôi nghĩ mình đã ôm đồm quá nhiều với dự án này.
The noise caused all the neighbors to go_nuts.,Cái tiếng ồn đó đã làm tất cả hàng xóm phát điên.
Speak_of_the_devil—here he comes!,"Vừa nhắc đến anh ta—anh ta đến kìa!"""
It’s nice to slow down at the week-end and take_it_+easy.,Thật tuyệt khi được thư giãn vào cuối tuần.
Break_a_leg in your performance!,Chúc may mắn trong buổi diễn nhé!
He is_right_as_rain. We should sell these old funiture,Ý anh ấy rất đúng. Chúng ta nên bán những đò nột thất cũ kĩ này.
He was looking_a_little_green around the gills when he came to work today.,Anh ấy trông hơi ốm khi anh đến nơi làm việc hôm nay
You're going to follow him? Are you out_of_your_guard?,Bạn sẽ đi theo anh ấy sao? Bạn bị điên à?
I’m all_ears — tell me what happened!,Tôi đang chăm chú nghe đây — kể tôi nghe đi!
"I stayed up all night studying for that exam, and then it turned_out_to_be_a_breeze!","Tôi đã giành cả đêm để ôn cho bải kiểm tra, và hóa ra nó thực sự dễ dàng"
"When I found out he crashed my car, I hit_the_roof.","Sau khi tôi biết được anh ấy đã đâm xe tôi, tôi đã vô cùng tức giận"
I decided to bite_the_bullet and take the exam,	Tôi quyết định cắn răng chịu đựng và đi thi.
He's really on_thin_ice.,Anh ấy đang trong một tình huống nguy hiềm.
"""It's raining_cats_and_dogs outside.",Trời đang mưa như trút nước.
